,content,title,rating
7288,Mark Borchardt Documentary cringe comedy|gambling|friend|cult film Mark Borchardt|Tom Schimmels|Monica Borchardt|Alex Borchardt|Chris Borchardt|Ken Keen|Mike Schank|Matt Weisman|Bill Borchardt|Cliff Borchardt|Tom Beach|Joan Petrie|Robert Richard Jorge|Dean Allen|Tommy Dallace,American Movie (1999),784
1931,Christopher Markus Adventure|Children|Fantasy sequel|third part|the white witch character|lucy pevensie character Georgie Henley|Skandar Keynes|Ben Barnes|Will Poulter|Gary Sweet|Terry Norris|Bruce Spence|Bille Brown|Laura Brent|Colin Moody|Tilda Swinton|Anna Popplewell|William Moseley|Shane Rangi|Arthur Angel,"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",783
5718,John Wyndham Horror|Sci-Fi alien|small town|alien life form|paranormal phenomena Christopher Reeve|Kirstie Alley|Linda Kozlowski|Michael Paré|Meredith Salenger|Mark Hamill|Pippa Pearthree|Peter Jason|Constance Forslund|Karen Kahn|Thomas Dekker|Lindsey Haun|Cody Dorkin|Trishalee Hardy|Jessye Quarry,Village of the Damned (1995),782
5646,John Requa Comedy|Crime|Drama|Romance older man younger woman relationship|con artist|interracial relationship|con man Will Smith|Margot Robbie|Adrian Martinez|Gerald McRaney|Rodrigo Santoro|BD Wong|Brennan Brown|Robert Taylor|Dotan Bonen|Griff Furst|Stephanie Honoré|David Stanford|Dominic Fumusa|Steve Kim|Don Yesso,Focus (2015),782
8439,Nicole Eastman Comedy|Drama|Romance bad date|tv show|chick flick|nudity Katherine Heigl|Gerard Butler|Bree Turner|Eric Winter|Nick Searcy|Jesse D. Goins|Cheryl Hines|John Michael Higgins|Noah Matthews|Bonnie Somerville|John Sloman|Yvette Nicole Brown|Nate Corddry|Allen Maldonado|Steve Little,"Ugly Truth, The (2009)",782
7918,Michael Rymer Fantasy|Horror vampire|rock star|fatal attraction|interspecies romance Aaliyah|Stuart Townsend|Marguerite Moreau|Vincent Perez|Paul McGann|Lena Olin|Christian Manon|Claudia Black|Bruce Spence|Matthew Newton|Tiriel Mora|Megan Cooper|Johnathan Devoy|Robert Farnham|Conrad Standish,Queen of the Damned (2002),781
603,Andrew Bergman Comedy|Romance poker player|las vegas nevada|gambling|skydiving James Caan|Nicolas Cage|Sarah Jessica Parker|Pat Morita|Johnny Williams|John Capodice|Robert Costanzo|Anne Bancroft|Peter Boyle|Burton Gilliam|Brent Hinkley|Dean Hallo|Seymour Cassel|Jerry Tarkanian|Keone Young,Honeymoon in Vegas (1992),781
9595,Ricou Browning Adventure|Children florida keys|male protagonist|animal character name as title|flipper character Elijah Wood|Paul Hogan|Jonathan Banks|Robert Deacon|Ann Carey|Mark Casella|Luke Halpin|Bill Kelley|Chelsea Field|Jason Fuchs|Lindsay Treco|Jessica Wesson|Mal Jones|Louis Seeger Crume|Bill Nolan,Flipper (1996),781
1163,Bill Condon Drama sexuality|character name as title|surname as title|lgbt plus Liam Neeson|Laura Linney|Chris O'Donnell|Peter Sarsgaard|Timothy Hutton|John Lithgow|Tim Curry|Oliver Platt|Dylan Baker|Julianne Nicholson|William Sadler|John McMartin|Veronica Cartwright|Kathleen Chalfant|Heather Goldenhersh,Kinsey (2004),780
1438,Brian Peterson Comedy lesbian|cheerleader|lesbian relationship|lesbian teen Natasha Lyonne|Michelle Williams|Brandt Wille|Bud Cort|Mink Stole|RuPaul|Katie Donahue|Danielle Rene|Cathy Moriarty|Eddie Cibrian|Melanie Lynskey|Clea DuVall|Katrina Phillips|Katharine Towne|Joel Michaely,But I'm a Cheerleader (1999),780
11062,Sylvester Stallone Action|Drama retired boxer|tough guy|sweat|sequel to best picture winner Sylvester Stallone|Burt Young|Antonio Tarver|Geraldine Hughes|Milo Ventimiglia|Tony Burton|A.J. Benza|James Francis Kelly III|Talia Shire|Lou DiBella|Mike Tyson|Henry G. Sanders|Pedro Lovell|Ana Gerena|Angelyna Martinez,Rocky Balboa (2006),779
1009,Barbara Williams Comedy jury|dog|court|hotel Pauly Shore|Tia Carrere|Stanley Tucci|Brian Doyle-Murray|Abe Vigoda|Charles Napier|Richard Edson|Richard Riehle|Alex Datcher|Richard T. Jones|Sharon Barr|Jack McGee|Nick Bakay|Ernie Lee Banks|Shelley Winters,Jury Duty (1995),779
5649,John Rice Action|Drama|War japanese army|japanese soldier|navajo indian|u.s. soldier Nicolas Cage|Adam Beach|Peter Stormare|Noah Emmerich|Mark Ruffalo|Brian Van Holt|Martin Henderson|Roger Willie|Frances O'Connor|Christian Slater|Jason Isaacs|William Morts|Cameron Thor|Kevin Cooney|Holmes Osborne,Windtalkers (2002),778
11405,Todd Phillips Comedy heart attack|giraffe|breast implant|prostitute Bradley Cooper|Ed Helms|Zach Galifianakis|Justin Bartha|Ken Jeong|John Goodman|Melissa McCarthy|Jeffrey Tambor|Heather Graham|Mike Epps|Sasha Barrese|Jamie Chung|Sondra Currie|Gillian Vigman|Oliver Cooper,"Hangover Part III, The (2013)",778
4301,Hilary Henkin Crime|Thriller pantyhose|sexy woman|bare butt|female rear nudity Gary Oldman|Wallace Wood|Juliette Lewis|David Proval|Will Patton|Gene Canfield|Larry Joshua|Michael Wincott|Lena Olin|William Duff-Griffin|James Cromwell|Paul Butler|Annabella Sciorra|Tony Sirico|Victoria Bastel,Romeo Is Bleeding (1993),778
1026,Barry Gifford Crime|Drama|Mystery|Romance|Thriller avant garde|surrealism|domineering mother|forbidden love Nicolas Cage|Laura Dern|Willem Dafoe|J.E. Freeman|Crispin Glover|Diane Ladd|Calvin Lockhart|Isabella Rossellini|Harry Dean Stanton|Grace Zabriskie|Sherilyn Fenn|Marvin Kaplan|William Morgan Sheppard|David Patrick Kelly|Freddie Jones,Wild at Heart (1990),778
9037,Peter Farrelly Comedy seven word title|punctuation in title|asian american|high school student Timothy Stack|Mimi Rogers|Wayne Federman|Lucas Gregory|Derek Richardson|Eric Christian Olsen|Luis Guzmán|Rachel Nichols|Elden Henson|Eugene Levy|Cheri Oteri|Holly Towne|Josh Braaten|Vahe Manoukian|William Lee Scott,Dumb and Dumberer: When Harry Met Lloyd (2003),777
3830,Gerald Di Pego Drama|Thriller anthropologist|psychiatrist|murder|africa Anthony Hopkins|Cuba Gooding Jr.|Donald Sutherland|Maura Tierney|George Dzundza|John Ashton|John Aylward|Thomas Q. Morris|Doug Spinuzza|Paul Bates|Rex Linn|Rod McLachlan|Kurt Smildsin|Jim R. Coleman|Tracey Ellis,Instinct (1999),777
6400,Kevin Eastman Action|Adventure|Children|Comedy|Fantasy splinter character|april o'neil character|sequel to cult film|arcade game Elias Koteas|Paige Turco|Stuart Wilson|Sab Shimono|Vivian Wu|Mark Caso|Matt Hill|Jim Raposa|David Fraser|James Murray|Eidan Hanzei|John Aylward|Mak Takano|Steve Akahoshi|Kent Kim,Teenage Mutant Ninja Turtles III (1993),777
3071,Eddie Murphy Comedy|Horror|Romance vampire|yellow eyes|african american|brooklyn new york city Eddie Murphy|Angela Bassett|Allen Payne|Kadeem Hardison|John Witherspoon|Zakes Mokae|Joanna Cassidy|Simbi Kali|Messiri Freeman|Kelly Cinnante|Jsu Garcia|W. Earl Brown|Ayo Adeyemi|Troy Curvey Jr.|Vickilyn Reynolds,Vampire in Brooklyn (1995),777
2357,Danis Tanovic Drama|War year 1993|allegory|war satire|civil war Branko Djuric|Rene Bitorajac|Filip Sovagovic|Georges Siatidis|Serge-Henri Valcke|Sacha Kremer|Alain Eloy|Mustafa Nadarevic|Bogdan Diklic|Simon Callow|Katrin Cartlidge|Tanja Ribic|Branko Zavrsan|Djuro Utjesanovic|Mirza Tanovic,No Man's Land (2001),775
7893,Michael Patrick King Comedy|Romance sequel to tv series|wedding dress|overreaction|2000s Sarah Jessica Parker|Kim Cattrall|Kristin Davis|Cynthia Nixon|Chris Noth|Candice Bergen|Jennifer Hudson|David Eigenberg|Evan Handler|Jason Lewis|Mario Cantone|Lynn Cohen|Willie Garson|Joanna Gleason|Joseph Pupo,Sex and the City (2008),774
3498,Florian Henckel von Donnersmarck Drama|Thriller tailing a suspect|russophobia|surveillance van|police surveillance Johnny Depp|Angelina Jolie|Paul Bettany|Timothy Dalton|Steven Berkoff|Rufus Sewell|Christian De Sica|Alessio Boni|Daniele Pecci|Giovanni Guidelli|Raoul Bova|Bruno Wolkowitch|Marc Ruchmann|Julien Baumgartner|François Vincentelli,"Tourist, The (2010)",771
9708,Robert Farrar Comedy|Crime|Thriller mistaken identity|animated title sequence|spy spoof|hitman Bill Murray|Peter Gallagher|Joanne Whalley|Alfred Molina|Richard Wilson|John Standing|Simon Chandler|Geraldine James|Anna Chancellor|Nicholas Woodeson|Cliff Parisi|John Thomson|Janet Henfrey|Terry O'Neill|Isabel Hernández,"Man Who Knew Too Little, The (1997)",771
7489,Martin Stellman Drama|Thriller united states of america|usa|united nations building|building Nicole Kidman|Sean Penn|Catherine Keener|Jesper Christensen|Yvan Attal|Earl Cameron|George Harris|Michael Wright|Clyde Kusatsu|Eric Keenleyside|Hugo Speer|Maz Jobrani|Yusuf Gatewood|Curtiss Cook|Byron Utley,"Interpreter, The (2005)",769
9526,Richard Linklater Drama|Romance hotel|hotel room|writer|dinner Ethan Hawke|Julie Delpy|Seamus Davey-Fitzpatrick|Jennifer Prior|Charlotte Prior|Xenia Kalogeropoulou|Walter Lassally|Ariane Labed|Yiannis Papadopoulos|Athina Rachel Tsangari|Panos Koronis|Enrico Focardi|Manolis Goussias|Anouk Servera|Yota Argyropoulou,Before Midnight (2013),769
2061,Clive Cussler Action|Adventure|Comedy beach|evil man|good versus evil|bare chested male Jude Akuwudike|Mark Aspinall|Rakie Ayola|Christopher Bello|Nicholas Beveney|Empotoe Bosage|Robert Cavanah|Penélope Cruz|Clint Dyer|Matthew Flynn|Paulin Fodouop|Ouahbou Houcine|Emmanuel Ighodaro|Lennie James|Maurice Lee,Sahara (2005),768
2454,David Ayer Crime|Drama|Thriller street gang|police|lapd|police officer Jake Gyllenhaal|Michael Peña|Natalie Martinez|Anna Kendrick|David Harbour|Frank Grillo|America Ferrera|Cle Sloan|Jaime FitzSimons|Cody Horn|Shondrella Avery|Everton Lawrence|Leequwid 'Devil' Wilkens|James 'Pistol' McNeal|Zone,End of Watch (2012),768
3847,Germán Servidio Comedy|Drama|Thriller suicide by airplane crash|anthology film|revenge|wedding party Darío Grandinetti|María Marull|Mónica Villa|Diego Starosta|Marcelo Frasca|Lucila Mangone|María Laura Caccamo|Carlos Alberto Vavassori|Pablo Machado|Horacio Vay|Javier Pedersoli|Héctor Drachtman|María Rosa López Ottonello|Rita Cortese|Julieta Zylberberg,Wild Tales (2014),767
120,Adam Rifkin Comedy reference to the incredible hulk|kiss|band|concert Giuseppe Andrews|James DeBello|Edward Furlong|Sam Huntington|Lin Shaye|Melanie Lynskey|Natasha Lyonne|Miles Dougal|Nick Scotti|Emmanuelle Chriqui|David Quane|Rodger Barton|Kathryn Haggis|David Gardner|Shannon Tweed,Detroit Rock City (1999),767
3520,Frances Mayes Comedy|Drama|Romance villa|writer|book|vacation Diane Lane|Sandra Oh|Lindsay Duncan|Raoul Bova|Vincent Riotta|Mario Monicelli|Roberto Nobile|Anita Zagaria|Evelina Gori|Giulia Louise Steigerwalt|Pawel Szajda|Valentine Pelka|Sasa Vulicevic|Massimo Sarchielli|Claudia Gerini,Under the Tuscan Sun (2003),766
2615,David Mamet Crime|Drama time bomb|gang|heist|wife's sexual pretence Gene Hackman|Danny DeVito|Delroy Lindo|Sam Rockwell|Rebecca Pidgeon|Ricky Jay|Patti LuPone|Alan Bilzerian|Richard L. Friedman|Robert Lussier|Mark Camacho|Michelle Sweeney|Elyzabeth Walling|Mike Tsar|Jim Frangione,Heist (2001),766
8871,Paul Mayersberg Crime|Drama casino|croupier|novel|female nudity Clive Owen|Nick Reding|Nicholas Ball|Alexander Morton|Barnaby Kay|Gina McKee|John Radcliffe|Sheila Whitfield|David Hamilton|Carol Davis|Eddie Osei|Doremy Vernon|Claudine Carter|Ursula Alberts|Neville Phillips,Croupier (1998),766
12152,Yoshiaki Kawajiri Action|Adventure|Animation|Fantasy death of a companion|female ninja|death by sword|poisoning Kôichi Yamadera|Emi Shinohara|Takeshi Aono|Osamu Saka|Daisuke Gôri|Ichirô Nagai|Ryûzaburô Ôtomo|Akimasa Ohmori|Gara Takashima|Katsuji Mori|Yûsaku Yara|Norio Wakamoto|Toshihiko Seki|Masako Katsuki|Reizô Nomoto,Ninja Scroll (Jûbei ninpûchô) (1995),766
695,André Cayatte Comedy|Drama|Romance professor|remake of french film|directed by star|dating Barbra Streisand|Jeff Bridges|Lauren Bacall|George Segal|Mimi Rogers|Pierce Brosnan|Brenda Vaccaro|Austin Pendleton|Elle Macpherson|Ali Marsh|Leslie Stefanson|Taina Elg|Lucy Avery Brooke|Amber Smith|David Kinzie,"Mirror Has Two Faces, The (1996)",765
3750,Gene Quintano Action|Comedy scotty character|ariel character|time bomb|pantyhosed leg Emilio Estevez|Samuel L. Jackson|Jon Lovitz|Tim Curry|Kathy Ireland|Frank McRae|William Shatner|Dhiru Shah|Gokul|Thomas Bruggemann|Danny Castle|Lance Kinsey|Bill Nunn|Joyce Brothers|Lin Shaye,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),762
372,Alex Lasker Action|Drama|Thriller refugee|nigeria|civil war|rescue mission Bruce Willis|Monica Bellucci|Cole Hauser|Eamonn Walker|Johnny Messner|Nick Chinlund|Charles Ingram|Paul Francis|Chad Smith|Tom Skerritt|Malick Bowens|Awaovieyi Agie|Akosua Busia|Hadar Busia-Singleton|Ida Onyango,Tears of the Sun (2003),762
6930,Lorene Scafaria Comedy|Drama|Romance search|new york city|one night|night life Michael Cera|Kat Dennings|Aaron Yoo|Rafi Gavron|Ari Graynor|Alexis Dziena|Jonathan B. Wright|Zachary Booth|Jay Baruchel|Justin Rice|Christian Rudder|Giorgio Angelini|Darbie Nowatka|Cully Symington|Jeremy Haines,Nick and Norah's Infinite Playlist (2008),761
2538,David Guterson Drama injustice|japanese|fictional island|fisherman Ethan Hawke|Yûki Kudô|Reeve Carney|Anne Suzuki|Rick Yune|Max von Sydow|James Rebhorn|James Cromwell|Richard Jenkins|Arija Bareikis|Eric Thal|Celia Weston|Daniel von Bargen|Akira Takayama|Ako,Snow Falling on Cedars (1999),761
2146,Craig Titley Adventure|Fantasy athena character|medusa character|poseidon character|male protagonist Logan Lerman|Brandon T. Jackson|Alexandra Daddario|Jake Abel|Sean Bean|Pierce Brosnan|Steve Coogan|Rosario Dawson|Melina Kanakaredes|Catherine Keener|Kevin McKidd|Joe Pantoliano|Uma Thurman|Julian Richings|Bonita Friedericy,Percy Jackson & the Olympians: The Lightning Thief (2010),760
12092,Woody Allen Drama self deception|congenital liar|riches to rags|snob Cate Blanchett|Joy Carlin|Richard Conti|Glen Caspillo|Alec Baldwin|Charlie Tahan|Annie McNamara|Sally Hawkins|Daniel Jenks|Max Rutherford|Andrew Dice Clay|Tammy Blanchard|Kathy Tong|Ted Neustadt|Andrew Long,Blue Jasmine (2013),759
8834,Paul Greengrass Crime|Drama september 11 2001|passenger|plane|flight J.J. Johnson|Gary Commock|Polly Adams|Opal Alladin|Starla Benford|Trish Gates|Nancy McDoniel|David Alan Basche|Richard Bekins|Susan Blommaert|Ray Charleson|Christian Clemenson|Liza Colón-Zayas|Lorna Dallas|Denny Dillon,United 93 (2006),757
8315,Neil Landau Comedy roof|babysitter|fast food restaurant|deception Christina Applegate|Joanna Cassidy|John Getz|Josh Charles|Keith Coogan|Concetta Tomei|David Duchovny|Kimmy Robertson|Jayne Brook|Eda Reiss Merin|Robert Hy Gorman|Danielle Harris|Christopher Pettiet|Chris Claridge|Jeff Bollow,Don't Tell Mom the Babysitter's Dead (1991),757
5054,Jeff Nathanson Action|Comedy|Crime|Thriller repeat sequel|cleavage|in the cross hairs|luxury car Chris Tucker|Jackie Chan|Max von Sydow|Hiroyuki Sanada|Yvan Attal|Yûki Kudô|Noémie Lenoir|Jingchu Zhang|Tzi Ma|Dana Ivey|Henry O|Mia Tyler|Michael Chow|David Niven Jr.|Oanh Nguyen,Rush Hour 3 (2007),756
3391,Ethan Reiff Action|Adventure|Sci-Fi tibet|woman murders a man|woman murders a woman|woman strangles a man Yun-Fat Chow|Seann William Scott|Jaime King|Karel Roden|Victoria Smurfit|Marcus Jean Pirae|Mako|Roger Yuan|K.C. Collins|Sean Bell|Kishaya Dudley|Rob Archer|Mauricio Rodas|Bayo Akinfemi|Russell Yuen,Bulletproof Monk (2003),756
4728,James Marsh Documentary tightrope walker|empire state building|world trade center|trespassing Philippe Petit|Jean François Heckel|Jean-Louis Blondeau|Annie Allix|David Forman|Alan Welner|Mark Lewis|Barry Greenhouse|Jim Moore|Guy F. Tozzoli|Paul McGill|David Demato|Ardis Campbell|Aaron Haskell|Shawn Dempewolff-Barrett,Man on Wire (2008),756
11493,Tom Schulman Adventure|Romance stethoscope exam|gas chromatograph|jungle|cancer Sean Connery|Lorraine Bracco|José Wilker|Rodolfo De Alexandre|Francisco Tsiren Tsere Rereme|Elias Monteiro Da Silva|Edinei Maria Serrio Dos Santos|Bec-Kana-Re Dos Santos Kaiapo|Angelo Barra Moreira|José Lavat,Medicine Man (1992),756
5067,Jeff Stockwell Adventure|Children|Fantasy tragedy|imagination|friend|race Josh Hutcherson|AnnaSophia Robb|Zooey Deschanel|Robert Patrick|Bailee Madison|Kate Butler|Devon Wood|Emma Fenton|Grace Brannigan|Latham Gaines|Judy McIntosh|Patricia Aldersley|Lauren Clinton|Isabelle Rose Kircher|Cameron Wakefield,Bridge to Terabithia (2007),756
1581,Carlos Saldanha Adventure|Animation|Children|Comedy brazil|bird|macaw|ornithologist Karen Disher|Jason Fricchione|Sofia Scarpa Saldanha|Leslie Mann|Kelly Keaton|Jesse Eisenberg|Wanda Sykes|Jane Lynch|Rodrigo Santoro|Gracinha Leporace|Jamie Foxx|Will.i.am|Phil Miler|Anne Hathaway|Bernardo De Paula,Rio (2011),756
9068,Peter Høeg Drama|Thriller snow|female protagonist|character name in title|f rated Jens Jørgen Fleischer|Julia Ormond|Agga Olsen|Patrick Field|Matthew Marsh|Gabriel Byrne|Jim Broadbent|Tom Wilkinson|Charlotte Bradley|Richard Harris|Charles Lewsen|Robert Loggia|Emma Croft|Bob Peck|Ann Queensberry,Smilla's Sense of Snow (1997),755
8240,Nancy Meyers Action|Comedy reporter|rivalry|whistleblower|journalism Nick Nolte|Julia Roberts|Saul Rubinek|James Rebhorn|Robert Loggia|Kelly Rutherford|Olympia Dukakis|Marsha Mason|Eugene Levy|Charles Martin Smith|Dan Butler|Paul Gleason|Jane Adams|Lisa Lu|Nora Dunn,I Love Trouble (1994),754
911,Arthur Miller Drama witch|salem massachusetts|witch hunt|witchcraft Daniel Day-Lewis|Winona Ryder|Paul Scofield|Joan Allen|Bruce Davison|Rob Campbell|Jeffrey Jones|Peter Vaughan|Karron Graves|Charlayne Woodard|Frances Conroy|Elizabeth Lawrence|George Gaynes|Mary Pat Gleason|Robert Breuler,"Crucible, The (1996)",754
2134,Craig Mazin Comedy|Horror female nudity|implied sex|sexual innuendo|accidental nudity Anna Faris|Regina Hall|Craig Bierko|Bill Pullman|Anthony Anderson|Leslie Nielsen|Molly Shannon|Michael Madsen|Chris Elliott|Carmen Electra|Shaquille O'Neal|Phil McGraw|Cloris Leachman|Conchita Campbell|Beau Mirchoff,Scary Movie 4 (2006),752
11192,Terri Hughes Burton Comedy|Horror female frontal nudity|breasts|slow motion scene|trailer home Devon Sawa|Seth Green|Elden Henson|Jessica Alba|Vivica A. Fox|Christopher Hart|Jack Noseworthy|Katie Wright|Sean Whalen|Nicholas Sadler|Fred Willard|Connie Ray|Steve Van Wormer|Kelly Monaco|Timothy Stack,Idle Hands (1999),752
9134,Peter Tolan Comedy|Fantasy|Romance doctor|coma|workaholic|apartment Reese Witherspoon|Mark Ruffalo|Donal Logue|Dina Spybey-Waters|Ben Shenkman|Jon Heder|Ivana Milicevic|Caroline Aaron|Rosalind Chao|Ron Canada|Willie Garson|Gabrielle Made|William Caploe|Shulie Cowen|Billy Beck,Just Like Heaven (2005),751
3127,Ehren Kruger Drama|Horror|Mystery|Thriller hoodoo|bound and gagged|southern gothic|surprise ending Kate Hudson|Gena Rowlands|John Hurt|Peter Sarsgaard|Joy Bryant|Maxine Barnett|Fahnlohnee R. Harris|Marion Zinser|Deneen Tyler|Ann Dalrymple|Trula M. Marcus|Tonya Staten|Thomas Uskali|Jen Apgar|Forrest Landis,"Skeleton Key, The (2005)",750
5173,Jerry Juhl Children|Comedy the muppets|alien|breakfast|ufo Dave Goelz|Steve Whitmire|Bill Barretta|Jerry Nelson|Brian Henson|Kevin Clash|Frank Oz|Jeffrey Tambor|F. Murray Abraham|Rob Schneider|Josh Charles|Ray Liotta|David Arquette|Andie MacDowell|Kathy Griffin,Muppets From Space (1999),750
796,Anne Rapp Comedy|Drama death|inheritance|ensemble film|dysfunctional family Glenn Close|Julianne Moore|Liv Tyler|Chris O'Donnell|Charles S. Dutton|Patricia Neal|Ned Beatty|Courtney B. Vance|Donald Moffat|Lyle Lovett|Danny Darst|Matt Malloy|Randle Mell|Niecy Nash|Rufus Thomas,Cookie's Fortune (1999),750
375,Alex Litvak Action|Sci-Fi|Thriller jungle|parachute|alien|planet Adrien Brody|Topher Grace|Alice Braga|Walton Goggins|Oleg Taktarov|Laurence Fishburne|Danny Trejo|Louis Ozawa|Mahershala Ali|Carey Jones|Brian Steele|Derek Mears,Predators (2010),749
8066,Mike Leigh Drama sexual humiliation|rough sex|existentialism|male frontal nudity David Thewlis|Lesley Sharp|Katrin Cartlidge|Greg Cruttwell|Claire Skinner|Peter Wight|Ewen Bremner|Susan Vidler|Deborah MacLaren|Gina McKee|Carolina Giammetta|Elizabeth Berrington|Darren Tunstall|Robert Putt|Lynda Rooke,Naked (1993),749
1119,Bernardo Bertolucci Drama female nudity|skinny dipping|sex scene|hand under skirt Carlo Cecchi|Sinéad Cusack|Joseph Fiennes|Jason Flemyng|Anna Maria Gherardi|Jeremy Irons|Jean Marais|Donal McCann|D.W. Moffett|Ignazio Oliva|Stefania Sandrelli|Francesco Siciliano|Mary Jo Sorgani|Leonardo Treviglio|Liv Tyler,Stealing Beauty (1996),748
3723,Gaspar Noé Crime|Drama|Mystery|Thriller sexual violence|revenge|unsimulated sex|vengeance Monica Bellucci|Vincent Cassel|Albert Dupontel|Jo Prestia|Philippe Nahon|Stéphane Drouot|Jean-Louis Costes|Mick Gondouin|Mourad Khima|Hellal|Nato|Fesche|Jara-Millo|Le Quellec|Isabelle Giami,Irreversible (Irréversible) (2002),747
11106,Takeshi Kitano Action|Comedy|Crime|Drama tap dancing|chopping wood|spinster|basket Takeshi Kitano|Tadanobu Asano|Michiyo Yasuda|Taka Guadalcanal|Daigorô Tachibana|Yûko Daike|Yui Natsukawa|Ittoku Kishibe|Saburô Ishikura|Akira Emoto|Ben Hiura|Kohji Miura|Hideboh|Ron II|Suji,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",746
4359,Howard Franklin Crime|Drama|Thriller startup company|boy wears eyeglasses|character repeats someone else's dialogue|man wears eyeglasses Ryan Phillippe|Rachael Leigh Cook|Claire Forlani|Tim Robbins|Douglas McFerran|Richard Roundtree|Tygh Runyan|Yee Jee Tso|Nate Dushku|Ned Bellamy|Tyler Labine|Scott Bellis|David Lovgren|Zahf Paroo|Jonathon Young,Antitrust (2001),745
3420,Ewan Leslie Comedy|Romance love triangle|pretending to be someone else|girl disguised as a boy|roommate Amanda Bynes|Channing Tatum|Laura Ramsey|Vinnie Jones|David Cross|Julie Hagerty|Robert Hoffman|Alexandra Breckenridge|Jonathan Sadowski|Amanda Crew|Jessica Lucas|Brandon Jay McLaren|Clifton MaCabe Murray|James Snyder|James Kirk,She's the Man (2006),745
6987,Luc Besson Action|Crime|Drama|Thriller police corruption|cut|hood|danger Liam Neeson|Maggie Grace|Famke Janssen|Leland Orser|Jon Gries|D.B. Sweeney|Luke Grimes|Rade Serbedzija|Kevork Malikyan|Alain Figlarz|Frank Alvarez|Murat Tuncelli|Ali Yildirim|Ergun Kuyucu|Cengiz Bozkurt,Taken 2 (2012),744
5252,Jim Jarmusch Comedy|Drama musician|vignette|addiction|restaurant Roberto Benigni|Steven Wright|Joie Lee|Cinqué Lee|Steve Buscemi|Iggy Pop|Tom Waits|Joseph Rigano|Vinny Vella|Vinny Vella Jr.|Renee French|E.J. Rodriguez|Alex Descas|Isaach De Bankolé|Cate Blanchett,Coffee and Cigarettes (2003),743
1229,Blake Snyder Action|Comedy head dunked in a toilet|pinching cheek|male wears underwear|man in a shower Sylvester Stallone|Estelle Getty|JoBeth Williams|Roger Rees|Martin Ferrero|Gailard Sartain|John Wesley|Al Fann|Ella Joyce|J. Kenneth Campbell|Nicholas Sadler|Dennis Burkley|Ving Rhames|Jana Arnold|Christopher Collins,Stop! Or My Mom Will Shoot (1992),743
9222,Pierce Gardner Comedy|Drama|Romance teenage girl|game|young girl|gymnasium Steve Carell|Juliette Binoche|Dane Cook|Alison Pill|Britt Robertson|Marlene Lawston|Dianne Wiest|John Mahoney|Norbert Leo Butz|Amy Ryan|Jessica Hecht|Frank Wood|Henry Priest Miller|Ella Miller|CJ Adams,Dan in Real Life (2007),743
8766,Patrick Melton Crime|Horror|Thriller serial rapist|ex wife|tied to a chair|bound and gagged Tobin Bell|Costas Mandylor|Scott Patterson|Betsy Russell|Lyriq Bent|Athena Karkanis|Louis Ferreira|Simon Reynolds|Donnie Wahlberg|Angus Macfadyen|Shawnee Smith|Bahar Soomekh|Dina Meyer|Mike Realba|Marty Adams,Saw IV (2007),742
5358,Joe Carnahan Action|Crime|Drama|Thriller fbi|mafia|casino|mob hit Ryan Reynolds|Ray Liotta|Joseph Ruskin|Alex Rocco|Wayne Newton|Jeremy Piven|Ben Affleck|Peter Berg|Martin Henderson|Common|Christopher Michael Holley|Andy Garcia|Mike Falkow|Joe Drago|Jeff Habberstad,Smokin' Aces (2006),739
2243,Dan Harmon Animation|Children|Fantasy|Mystery three friends|halloween|haunted house|suburbs Ryan Whitney Newman|Steve Buscemi|Mitchel Musso|Catherine O'Hara|Fred Willard|Sam Lerner|Woody Schultz|Ian McConnel|Maggie Gyllenhaal|Jason Lee|Spencer Locke|Kevin James|Nick Cannon|Jon Heder|Kathleen Turner,Monster House (2006),739
8898,Paul Thomas Anderson Crime|Drama|Thriller character name as title|forename as title|one word title|down on one's luck Philip Baker Hall|John C. Reilly|Gwyneth Paltrow|Samuel L. Jackson|F. William Parker|Philip Seymour Hoffman|Nathanael Cooper|Wynn White|Robert Ridgely|Kathleen Campbell|Michael J. Rowe|Peter D'Allesandro|Steve Blane|Xaleese|Melora Walters,Sydney (Hard Eight) (1996),738
6778,Lee David Zlotoff Drama small town|reference to homer's odyssey|prison|world war two Alison Elliott|Ellen Burstyn|Marcia Gay Harden|Will Patton|Kieran Mulroney|Gailard Sartain|John M. Jackson|Louise De Cormier|Ida Griesemer|Lincoln Grow|Emerson Grow|Sam Lloyd Sr.|Lisa Louise Langford|Forrest Murray|Patty Smith,"Spitfire Grill, The (1996)",738
6874,Lilly Wachowski Action|Adventure|Sci-Fi space opera|bees|planet earth|planet Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth|Tuppence Middleton|Nikki Amuka-Bird|Christina Cole|Nicholas A. Newman|Ramon Tikaram|Ariyon Bakare|Maria Doyle Kennedy|Frog Stone|David Ajala|Doona Bae,Jupiter Ascending (2015),737
